branch,beta,u0,v0,u_min,u_max,mu1_real,mu1_imag,mu1_abs,mu2_real,mu2_imag,mu2_abs,shooting_residual,liouville_defect,newton_iterations
plus,0.08,1.6193015089500273,0.14852100952126415,1.5439846588312767,1.9142608583057803,0.18581272710786506,0.27636010712650777,0.3330184354750301,0.18581272710786506,-0.27636010712650777,0.3330184354750301,2.5513202661642254e-12,2.0415613644075847e-12,3
plus,0.09,1.6044855346452171,0.16646648492854937,1.5203192931039866,1.93636564298703,0.18396751959467572,0.2775918408379007,0.33301843547406174,0.18396751959467572,-0.2775918408379007,0.33301843547406174,1.7485457526333903e-12,1.3965356648881766e-12,3
plus,0.1,1.5894933790211412,0.18421883267526323,1.496651501999807,1.9582866260102227,0.1818861332078197,0.27896005612526636,0.33301843547573234,0.1818861332078197,-0.27896005612526636,0.33301843547573234,1.1649570197391768e-12,2.5092844468943554e-12,3
plus,0.11,1.5743210996643202,0.2017612495210759,1.4729908386774244,1.9800120265711123,0.17956216044308912,0.2804615996966628,0.3330184354767778,0.17956216044308912,-0.2804615996966628,0.3330184354767778,7.289446823932622e-13,3.205588572363638e-12,3
plus,0.12,1.5589651343566926,0.21907690859916146,1.449349253256475,2.00153057990462,0.17698850101645622,0.282092801885194,0.33301843547691384,0.17698850101645622,-0.282092801885194,0.33301843547691384,4.098943406916078e-13,3.2962105267486663e-12,3
plus,0.13,1.5434223458035847,0.23614898539675278,1.4257334975421252,2.0228349069719624,0.17415735912533403,0.2838494189358133,0.33301843547724114,0.17415735912533403,-0.2838494189358133,0.33301843547724114,5.735412145213559e-13,3.5141334286947767e-12,3
plus,0.14,1.5276900663474742,0.25296068864173354,1.402156353941213,2.043910471345043,0.17106024174483453,0.2857265687020358,0.3330184354777381,0.17106024174483453,-0.2857265687020358,0.3330184354777381,5.735412145213559e-13,3.845146423486767e-12,3
plus,0.15,1.5117661422802953,0.26949529629927793,1.3786258832793719,2.064747071475925,0.1676879583071257,0.28771865946933023,0.3330184354777386,0.1676879583071257,-0.28771865946933023,0.3330184354777386,4.442557433037564e-13,3.8454933681819625e-12,3
plus,0.16,1.4956489773082235,0.28573619681926204,1.3551532163277136,2.085336158615047,0.16403062211728198,0.2898193115994409,0.3330184354779122,0.16403062211728198,-0.2898193115994409,0.3330184354779122,7.384648448294229e-13,3.9611230961966726e-12,3
plus,0.17,1.4793375746667954,0.30166693567933045,1.331746873066807,2.1056622446518,0.16007765387603307,0.2920212716528875,0.3330184354780146,0.16007765387603307,-0.2920212716528875,0.3330184354780146,1.0531575611594235e-12,4.0293463010598884e-12,3
plus,0.18,1.4628315773164584,0.3172712671886472,1.3084191694214626,2.125721063018008,0.15581778770024401,0.29431631861732405,0.33301843547805654,0.15581778770024401,-0.29431631861732405,0.33301843547805654,1.3752332606031814e-12,4.057268410129211e-12,3
plus,0.19,1.4461313056081015,0.332533211399481,1.2851757000284856,2.1454942620942044,0.15123908002011544,0.29669516181242767,0.333018435478028,0.15123908002011544,-0.29669516181242767,0.333018435478028,1.6960877147198516e-12,4.038297474195929e-12,3
plus,0.2,1.4292377917615895,0.34743711586164044,1.2620311625575018,2.164978959494015,0.14632892173517983,0.299147329976179,0.33301843547776344,0.14632892173517983,-0.299147329976179,0.33301843547776344,2.0252688415212106e-12,3.862091202400109e-12,3
plus,0.21,1.4121528104731897,0.36196772182802406,1.2389918180934172,2.1841575805845004,0.14107405399354994,0.3016610509459485,0.33301843547766113,0.14107405399354994,-0.3016610509459485,0.33301843547766113,2.503108831319878e-12,3.793923508688124e-12,3
plus,0.22,1.3948789049530552,0.3761102343875639,1.2160675657343427,2.2030246119581975,0.13546058793682914,0.3042231212184395,0.33301843547779864,0.13546058793682914,-0.3042231212184395,0.33301843547779864,2.8383961847566752e-12,3.885530786007507e-12,3
plus,0.23,1.3774194076988264,0.38985039586815123,1.1932703273515948,2.221568028201857,0.1294740287173926,0.3068187645105342,0.3330184354778018,0.1294740287173926,-0.3068187645105342,0.3330184354778018,2.97806224125452e-12,3.8875985763908716e-12,3
plus,0.24,1.3597784553309953,0.4031745617209016,1.1706083918275123,2.239775270235669,0.12309930405498953,0.3094314782132834,0.3330184354777982,0.12309930405498953,-0.3094314782132834,0.3330184354777982,2.879252392062881e-12,3.8851422079488884e-12,3
plus,0.25,1.341960996866538,0.4160697779660316,1.1480874261322302,2.257643783228612,0.11632079754037504,0.31204286633037576,0.3330184354778361,0.11632079754037504,-0.31204286633037576,0.3330184354778361,2.51909604287448e-12,3.910455292910342e-12,3
plus,0.26,1.3239727948711235,0.42852385917233576,1.1257203561990017,2.275158394423467,0.1091223868361679,0.31463245709755994,0.33301843547778276,0.1091223868361679,-0.31463245709755994,0.33301843547778276,1.9617085733614203e-12,3.8748865227589135e-12,3
plus,0.27,1.3058204190200957,0.4405254658302555,1.1035156849375916,2.292309833251871,0.10148748684669726,0.31717750295625735,0.33301843547771526,0.10148748684669726,-0.31717750295625735,0.33301843547771526,1.6144308112586714e-12,3.829922490261595e-12,3
plus,0.28,1.2875112317169946,0.45206417991792697,1.0814816570858026,2.309092983027693,0.0933990978574232,0.3196527598620027,0.33301843547764093,0.0933990978574232,-0.3196527598620027,0.33301843547764093,1.250055614576695e-12,3.780434298938928e-12,3
plus,0.29,1.2690533655450604,0.46313057739131325,1.0596262324743653,2.325500136767123,0.08483985855315807,0.3220302420092527,0.3330184354774638,0.08483985855315807,-0.3220302420092527,0.3330184354774638,1.3586909375362666e-12,3.6624731025725055e-12,3
